Age_of_Enlightenment,Poland,Soviet_Union,Turkmenistan,Kazakhstan
Age_of_Enlightenment,French_Revolution,Democracy,Kyrgyzstan,Kazakhstan
Age_of_Enlightenment,French_Revolution,Democracy,Kyrgyzstan,Kazakhstan
Age_of_Enlightenment,French_Revolution,Democracy,Kyrgyzstan,Kazakhstan
Age_of_Enlightenment,Poland,Russia,Kazakhstan
