Smog,Automobile,United_States,Cinema_of_the_United_States,Los_Angeles%2C_California,Film,Animation,The_Lion_King,Toy_Story
Smog,Automobile,United_States,Cinema_of_the_United_States,Los_Angeles%2C_California,California,Film,Animation,The_Lion_King,Toy_Story
Smog,Automobile,United_States,Cinema_of_the_United_States,Star_Wars_Episode_IV__A_New_Hope,Star_Wars,Computer_and_video_games,Nintendo,Mario,Super_Mario_Bros.,Nintendo_Entertainment_System,Japan,Animation,The_Lion_King,Toy_Story
Smog,California,Film,Animation,The_Lion_King,Toy_Story
Smog,Automobile,United_States,Cinema_of_the_United_States,Los_Angeles%2C_California,California,Film,Animation,The_Lion_King,Toy_Story
