Bird,Human,United_States_dollar,Thomas_Jefferson
Bird,Human,Democracy,United_States,Thomas_Jefferson
Bird,Human,Democracy,United_States,Thomas_Jefferson
Bird,Human,Politics,Thomas_Jefferson
Bird,Human,Democracy,United_States,Thomas_Jefferson
