Archbishop_of_Canterbury,Church_of_England,English_Reformation,Henry_VIII_of_England,United_States,Neil_Armstrong
Archbishop_of_Canterbury,Christianity,Church_of_England,Anglican_Communion,20th_century,United_States,Neil_Armstrong
Archbishop_of_Canterbury,Christianity,Roman_Catholic_Church,Astronomy,Galileo_Galilei,Isaac_Newton,Age_of_Enlightenment,Benjamin_Franklin,United_States,Neil_Armstrong
Archbishop_of_Canterbury,Christianity,Roman_Catholic_Church,Astronomy,20th_century,United_States,Neil_Armstrong
Archbishop_of_Canterbury,Church_of_England,Anglican_Communion,20th_century,United_States,Neil_Armstrong
