Bird,Human,World_War_II,Adolf_Hitler
Bird,Human,Politics,War,Adolf_Hitler
Bird,Human,Politics,Soviet_Union,Nazi_Germany,Adolf_Hitler
Bird,Human,Politics,War,Adolf_Hitler
Bird,Human,Politics,War,Adolf_Hitler
